,0.1,0.25,0.5,0.75,0.9
15.0,-31.018459999999997,-16.131774999999998,-0.157534,17.3893,31.38872
15.1,-31.761049999999997,-16.717025,-1.01745,17.641225,32.28346
15.2,-32.71078,-16.457575,1.21238,16.560724999999998,31.585969999999993
15.299999999999999,-32.060539999999996,-16.46765,0.39400650000000004,18.317525,33.538579999999996
15.399999999999999,-32.25645,-16.49755,0.05955245000000001,17.212,34.638799999999996
15.499999999999998,-31.95945,-18.792875000000002,0.0611443,17.055875,34.22956999999999
15.599999999999998,-32.41362,-17.019399999999997,-0.669751,17.503925000000002,32.68930999999999
15.699999999999998,-32.636329999999994,-17.349,-1.5076800000000001,15.500625,30.57993
15.799999999999997,-33.163560000000004,-17.3887,-1.124755,17.31605,33.479099999999995
15.899999999999997,-32.28749,-17.8532,0.7527735,17.216375,35.627109999999995
15.999999999999996,-31.44632,-16.39715,1.166235,17.069825,31.60615
16.099999999999994,-31.81332,-15.160150000000002,1.0728,18.186325,33.69647
16.199999999999996,-32.924679999999995,-17.41125,-0.4499325,16.37835,33.11870999999999
16.299999999999997,-33.930249999999994,-17.959575,0.8869290000000001,17.05295,31.565449999999995
16.399999999999995,-31.723599999999998,-16.17105,2.326515,18.8592,34.691509999999994
16.499999999999993,-32.538869999999996,-17.28065,-0.39166449999999997,17.934475,31.47001
16.599999999999994,-34.1677,-17.121475,-0.22627049999999999,16.684275,32.32138
16.699999999999996,-30.51465,-15.817450000000001,1.512475,18.4767,36.00115999999999
16.799999999999994,-30.94832,-16.964075,1.1514250000000001,19.324,33.70676
16.89999999999999,-31.39307,-15.194775,2.98482,21.128075,36.70587
16.999999999999993,-31.88402,-16.304299999999998,1.080975,18.379,33.25042
17.099999999999994,-28.65128,-14.92605,1.276555,18.058475,33.11462
17.199999999999992,-32.42167,-15.758700000000001,1.6873,18.0029,34.08800999999999
17.29999999999999,-33.43446,-15.85905,1.6714250000000002,19.076925000000003,33.654259999999994
17.39999999999999,-33.65389,-18.83555,-1.5596700000000001,15.38595,32.56599
17.499999999999993,-32.62571,-16.863999999999997,-0.6656095,17.5066,34.046899999999994
17.59999999999999,-33.555859999999996,-17.946775,1.153395,17.194625,35.481429999999996
17.69999999999999,-30.8415,-15.550650000000001,1.21579,18.43075,33.34133999999999
17.79999999999999,-31.527,-15.9673,1.380735,20.948675,37.11568
17.89999999999999,-30.863139999999998,-15.947075,0.466614,17.44745,33.02227
17.99999999999999,-29.726589999999998,-15.062525,1.8928600000000002,18.023125,34.79202
18.099999999999987,-30.49103,-15.45055,2.77574,19.159725,34.19103
